2014-02-27 15:16:30,175 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2014-03-03 15:21:03,529 [Worker-143] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B deploy
2014-03-03 15:22:26,449 [Worker-143] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/ismet/workenv/java/newws/hellojsf
2014-03-03 15:22:26,450 [Worker-143] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B deploy
2014-03-03 15:34:03,867 [Worker-154] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: hellojsf:hellojsf:0.0.1-SNAPSHOT @ /home/ismet/workenv/java/newws/hellojsf/pom.xml.
2014-03-03 15:34:03,943 [Worker-154] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-03-03 15:34:04,297 [New I/O client worker #1-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/javax/servlet/jstl/1.2/jstl-1.2.pom
2014-03-03 15:34:04,303 [New I/O client worker #1-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/javax/servlet/jstl/1.2/jstl-1.2.pom
2014-03-03 15:34:04,406 [Worker-154] INFO  c.n.h.c.p.n.NettyAsyncHttpProvider - Number of application's worked threads is 8
2014-03-03 15:34:04,549 [New I/O client worker #2-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://repo.maven.apache.org/maven2/javax/servlet/jstl/1.2/jstl-1.2.jar
2014-03-03 15:34:05,262 [New I/O client worker #2-1] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://repo.maven.apache.org/maven2/javax/servlet/jstl/1.2/jstl-1.2.jar
2014-03-03 15:34:05,628 [Worker-154] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-03 15:34:05,628 [Worker-154] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ismet/workenv/java/newws/hellojsf/src/main/resources
2014-03-03 15:34:05,631 [Worker-154] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-03 15:34:05,631 [Worker-154] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ismet/workenv/java/newws/hellojsf/src/test/resources
2014-03-03 15:34:05,632 [Worker-154] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of hellojsf
2014-03-03 15:34:05,633 [Worker-154] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for hellojsf
2014-03-03 15:34:05,672 [Worker-154] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-03 15:34:06,732 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-03 15:34:06,733 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ismet/workenv/java/newws/hellojsf/src/main/resources
2014-03-03 15:34:06,735 [Worker-155] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-03 15:34:06,736 [Worker-155] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ismet/workenv/java/newws/hellojsf/src/test/resources
2014-03-03 15:34:06,787 [Worker-156] INFO  o.e.m.i.launch.MavenLaunchDelegate - /home/ismet/workenv/java/newws/hellojsf
2014-03-03 15:34:06,788 [Worker-156] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B deploy
2014-03-03 15:37:53,629 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-03 15:37:53,629 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ismet/workenv/java/newws/hellojsf/src/main/resources
2014-03-03 15:37:53,631 [Worker-156] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2014-03-03 15:37:53,631 [Worker-156] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/ismet/workenv/java/newws/hellojsf/src/test/resources
2014-03-03 15:38:31,066 [Worker-141] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
